,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
344,ZNRF4,0.48866000000000004,0.0,0.0,1.417
345,ECI1,1.5853e-12,1.2899,0.867,1.837
346,GPRASP1,0.31099,0.23056,0.134,0.416
347,TMCO2,5.4723000000000004e-05,0.85024,0.482,1.566
348,CHD2,1.0,0.027031,0.011,0.07
349,SLC52A2,0.0024776999999999998,0.49423999999999996,0.27,0.975
350,MSRA,1.5332000000000001e-15,1.491,1.024,1.917
351,SCN8A,1.0,0.061953999999999995,0.031,0.13
352,COL6A2,6.5112e-08,0.40506,0.288,0.578
353,RPS23,0.85944,0.0,0.0,0.465
354,PHKA1,2.0904e-07,0.38306999999999997,0.273,0.547
355,GLB1,7.921499999999999e-10,0.59208,0.416,0.86
356,SLCO5A1,1.5378e-06,0.47013,0.314,0.724
357,UPF1,1.0,0.071,0.034,0.162
358,ARID4A,1.0,0.060714,0.029,0.139
359,PUM2,0.99492,0.16262000000000001,0.097,0.284
360,SETX,0.95483,0.20526999999999998,0.145,0.296
361,SCN7A,2.1568e-17,0.5958399999999999,0.457,0.784
362,KCNQ2,0.99998,0.050283999999999995,0.02,0.158
363,IFT140,9.914e-24,0.64444,0.511,0.818
364,DNAH7,1.3504999999999999e-71,0.72765,0.633,0.837
365,SATB2,0.9999899999999999,0.0,0.0,0.091
366,TBL1XR1,0.99995,0.0,0.0,0.106
367,SCARA3,2.9816e-08,0.67873,0.453,1.045
368,GBE1,1.1497e-12,0.6913199999999999,0.5,0.972
369,ELP2,4.1811e-20,0.67737,0.525,0.882
370,MAPK8IP3,1.0,0.071508,0.036,0.15
371,ADCY5,0.99928,0.13523,0.076,0.254
372,ATAD3B,1.0032e-22,1.0995,0.829,1.477
373,KCNT1,2.7613e-05,0.32431,0.227,0.471
374,PCDHB4,7.0275e-12,0.92694,0.64,1.374
375,TMEM237,1.8704e-12,0.85719,0.602,1.246
376,CASKIN2,0.99971,0.11023,0.057,0.232
377,SCN9A,4.752399999999999e-19,0.54886,0.429,0.708
378,KLF6,0.97946,0.0,0.0,0.252
379,SLC4A2,0.98521,0.17155,0.102,0.299
380,SCN1A,1.0,0.022602,0.008,0.071
381,SYNGAP1,1.0,0.0,0.0,0.052
382,SCN5A,0.91291,0.20533,0.14,0.308
383,TCP10,5.0062000000000005e-06,0.70944,0.437,1.203
384,MAP1S,0.4197,0.22107,0.12,0.436
385,ZIC1,0.9337799999999999,0.076697,0.026,0.364
386,DNER,0.1859,0.24333000000000002,0.142,0.439
387,gene,[],[],[],[]
388,PAQR9,0.1367,0.30277,0.137,0.783
389,SPAST,0.99939,0.0868,0.039,0.224
390,CHRNB2,0.00072964,0.45561,0.266,0.822
391,NDUFA10,6.2418e-08,0.7016600000000001,0.462,1.097
392,CHRNA1,2.0681e-08,0.7008800000000001,0.468,1.079
393,FAT2,6.023e-18,0.40408,0.324,0.507
